Date,Open,High,Low,Close,Adj Close,Volume
2014-06-27,817.849976,822.000000,814.000000,816.200012,793.146179,1285740
2014-06-30,819.900024,832.700012,819.900024,821.549988,798.345032,1544025
2014-07-01,823.000000,827.950012,815.000000,823.299988,800.045532,1910343
2014-07-02,830.799988,842.000000,825.500000,839.900024,816.176697,1906681
2014-07-03,841.000000,845.299988,831.349976,836.799988,813.164307,1515685
2014-07-04,836.799988,858.950012,835.099976,856.650024,832.453552,1407997
2014-07-07,859.900024,860.700012,835.849976,840.450012,816.711182,2032992
2014-07-08,844.000000,848.349976,820.000000,829.250000,805.827576,1683068
2014-07-09,828.000000,834.849976,818.000000,830.299988,806.847900,1448888
2014-07-10,830.299988,848.000000,812.250000,823.349976,800.094177,2464386
2014-07-11,821.099976,831.450012,808.799988,811.799988,788.870361,2299695
2014-07-14,815.000000,820.000000,807.150024,817.450012,794.360901,1230402
2014-07-15,820.750000,828.799988,816.500000,826.799988,803.446655,1523009
2014-07-16,829.500000,838.500000,817.900024,835.750000,812.143921,2397325
2014-07-17,838.700012,839.000000,829.500000,831.799988,808.305481,1259775
2014-07-18,828.900024,836.799988,822.000000,832.450012,808.937195,1822108
2014-07-21,841.700012,846.950012,825.250000,827.450012,804.078369,2453414
2014-07-22,829.900024,842.650024,827.000000,839.849976,816.128113,1742588
2014-07-23,843.099976,845.000000,835.000000,836.299988,812.678406,1962463
2014-07-24,836.000000,844.000000,833.000000,842.250000,818.460388,1069650
2014-07-25,841.000000,849.799988,834.150024,835.500000,811.901001,2666488
2014-07-28,838.500000,839.799988,828.000000,829.549988,806.119019,971238
2014-07-30,831.000000,841.900024,826.849976,838.799988,815.107849,1171345
2014-07-31,837.900024,839.900024,828.549988,834.000000,810.443359,2975336
2014-08-01,826.049988,827.799988,812.000000,815.450012,792.417419,1707115
2014-08-04,819.000000,822.700012,807.099976,813.000000,790.036499,1840761
2014-08-05,817.000000,823.000000,809.900024,820.200012,797.033142,1519276
2014-08-06,815.049988,819.549988,807.349976,810.000000,787.121216,845350
2014-08-07,812.900024,818.500000,810.000000,811.500000,788.578857,983435
2014-08-08,805.000000,807.799988,795.000000,796.150024,773.662537,1862670
2014-08-11,801.000000,802.849976,791.400024,792.950012,770.552856,1406556
2014-08-12,801.000000,808.500000,792.000000,807.200012,784.400330,1650768
2014-08-13,810.000000,815.750000,802.650024,812.400024,789.453552,1959955
2014-08-14,814.099976,831.650024,813.299988,826.700012,803.349609,2968306
2014-08-18,830.000000,834.500000,823.599976,832.349976,808.839966,1675542
2014-08-19,833.000000,837.500000,822.250000,823.849976,800.580017,1973214
2014-08-20,829.000000,834.599976,819.000000,820.549988,797.373230,2358713
2014-08-21,822.000000,835.200012,821.000000,832.500000,808.985779,1597620
2014-08-22,834.349976,848.750000,828.049988,846.750000,822.833252,2503822
2014-08-25,843.000000,852.799988,837.200012,843.450012,819.626526,1664016
2014-08-26,844.500000,848.500000,838.099976,842.500000,818.703308,1041314
2014-08-27,846.000000,846.000000,834.000000,836.599976,812.969910,1213242
2014-08-28,837.500000,845.500000,834.000000,843.549988,819.723633,1997863
2014-09-01,845.900024,849.000000,838.599976,841.200012,817.440063,1038664
2014-09-02,843.099976,861.099976,838.650024,859.200012,834.931519,2860563
2014-09-03,865.000000,865.000000,851.599976,856.650024,832.453552,2308695
2014-09-04,858.049988,859.000000,848.500000,851.849976,827.789185,1601742
2014-09-05,852.000000,855.549988,844.099976,848.450012,824.485229,958802
2014-09-08,851.000000,867.799988,849.450012,864.750000,840.324829,2447086
2014-09-09,860.099976,869.900024,857.799988,865.599976,841.150757,1915261
2014-09-10,865.000000,865.000000,854.099976,857.299988,833.085205,1078563
2014-09-11,857.400024,863.099976,853.000000,854.349976,830.218628,1633216
2014-09-12,850.099976,858.000000,848.950012,855.700012,831.530457,1521639
2014-09-15,850.000000,865.000000,850.000000,860.349976,836.049133,1452272
2014-09-16,861.000000,862.049988,848.000000,851.000000,826.963196,1269067
2014-09-17,855.000000,855.900024,842.099976,846.400024,822.493164,1976474
2014-09-18,844.750000,861.000000,842.250000,858.150024,833.911255,1663142
2014-09-19,860.000000,865.000000,851.400024,860.250000,835.951904,1635527
